,date,article_id,source
0,2018-02-09T08:46:21Z,1802.03171v1,arXiv
1,2018-02-09T12:03:15Z,1802.03216v1,arXiv
2,2018-02-09T12:52:06Z,1802.03236v1,arXiv
3,2018-02-09T13:00:44Z,1802.03239v1,arXiv
4,2018-02-09T14:27:58Z,1802.03275v1,arXiv
5,2018-02-09T15:58:58Z,1802.03318v1,arXiv
6,2018-02-09T17:24:27Z,1802.03396v1,arXiv
7,2018-02-09T18:29:26Z,1802.03375v1,arXiv
8,2018-02-09T18:55:34Z,1802.03390v3,arXiv
9,2018-02-09T19:18:21Z,1802.03417v1,arXiv
10,2018-02-09T22:24:50Z,1802.03471v2,arXiv
11,2018-02-10T00:49:51Z,1802.03488v1,arXiv
12,2018-02-10T01:32:03Z,1802.03493v2,arXiv
13,2018-02-10T01:33:52Z,1802.03495v1,arXiv
14,2018-02-10T01:54:44Z,1802.03499v1,arXiv
15,2018-02-10T01:57:49Z,1802.03501v1,arXiv
16,2018-02-10T04:00:55Z,1802.08717v1,arXiv
17,2018-02-10T07:14:53Z,1802.03532v2,arXiv
18,2018-02-10T08:13:54Z,1802.03544v2,arXiv
19,2018-02-10T08:52:54Z,1802.03548v1,arXiv
20,2018-02-10T14:18:51Z,1802.03597v1,arXiv
21,2018-02-10T18:46:54Z,1802.03638v2,arXiv
22,2018-02-10T19:12:03Z,1802.03642v1,arXiv
23,2018-02-10T22:22:03Z,1802.03654v3,arXiv
24,2018-02-11T00:24:32Z,1802.04253v2,arXiv
25,2018-02-11T03:04:28Z,1802.03685v2,arXiv
26,2018-02-11T04:42:03Z,1802.03691v1,arXiv
27,2018-02-11T06:41:54Z,1802.03701v1,arXiv
28,2018-02-11T08:09:17Z,1802.03707v1,arXiv
29,2018-02-11T13:47:42Z,1802.03738v2,arXiv
30,2018-02-11T15:14:17Z,1802.03751v1,arXiv
31,2018-02-11T15:37:37Z,1802.03753v1,arXiv
32,2018-02-11T16:52:23Z,1802.03768v1,arXiv
33,2018-02-11T17:18:28Z,1802.03774v2,arXiv
34,2018-02-11T18:28:56Z,1802.03788v1,arXiv
35,2018-02-11T23:40:25Z,1803.05027v1,arXiv
36,2018-02-12T01:22:10Z,1802.03855v1,arXiv
37,2018-02-12T01:31:18Z,1802.03858v1,arXiv
38,2018-02-12T03:51:41Z,1802.03875v2,arXiv
39,2018-02-12T04:08:06Z,1802.03881v1,arXiv
40,2018-02-12T07:16:03Z,1802.03916v3,arXiv
41,2018-02-12T08:25:55Z,1802.03930v2,arXiv
42,2018-02-12T11:08:43Z,1802.03976v1,arXiv
43,2018-02-12T12:38:55Z,1802.04007v2,arXiv
44,2018-02-12T12:39:28Z,1802.04009v2,arXiv
45,2018-02-12T13:29:46Z,1802.04030v1,arXiv
