,date,article_id,source
0,2018-04-06T01:07:53Z,1804.02099v1,arXiv
1,2018-04-06T06:43:23Z,1804.02150v1,arXiv
2,2018-04-06T10:47:26Z,1804.02391v2,arXiv
3,2018-04-06T13:06:01Z,1804.02393v1,arXiv
4,2018-04-06T13:33:37Z,1804.02257v2,arXiv
5,2018-04-06T14:01:00Z,1804.02276v2,arXiv
6,2018-04-06T15:26:36Z,1804.02322v1,arXiv
7,2018-04-06T16:12:51Z,1804.02341v1,arXiv
8,2018-04-06T18:00:00Z,1804.02398v1,arXiv
9,2018-04-06T18:45:54Z,1804.02422v1,arXiv
10,2018-04-06T22:17:18Z,1804.02477v2,arXiv
11,2018-04-07T05:44:19Z,1804.02512v1,arXiv
12,2018-04-07T07:52:04Z,1804.02527v1,arXiv
13,2018-04-07T07:56:29Z,1804.02528v2,arXiv
14,2018-04-07T10:24:04Z,1804.02543v1,arXiv
15,2018-04-07T13:21:51Z,1804.04612v1,arXiv
16,2018-04-07T14:56:38Z,1804.02566v1,arXiv
17,2018-04-07T16:27:33Z,1804.02573v1,arXiv
18,2018-04-07T21:59:46Z,1804.02596v1,arXiv
19,2018-04-08T03:37:36Z,1804.02620v1,arXiv
20,2018-04-08T04:16:45Z,1805.00307v1,arXiv
21,2018-04-08T04:27:09Z,1804.02628v1,arXiv
22,2018-04-08T09:18:56Z,1804.02657v1,arXiv
23,2018-04-08T14:39:13Z,1804.02698v1,arXiv
24,2018-04-08T16:20:17Z,1804.02709v1,arXiv
25,2018-04-08T17:04:58Z,1804.02717v3,arXiv
26,2018-04-08T20:03:07Z,1804.02747v1,arXiv
27,2018-04-08T21:18:55Z,1804.02759v1,arXiv
28,2018-04-08T22:48:20Z,1804.02772v2,arXiv
29,2018-04-09T01:56:53Z,1804.02792v3,arXiv
30,2018-04-09T04:00:30Z,1804.02808v1,arXiv
31,2018-04-09T04:12:08Z,1805.00787v1,arXiv
32,2018-04-09T04:55:27Z,1804.04946v1,arXiv
33,2018-04-09T05:14:26Z,1804.02816v1,arXiv
34,2018-04-09T07:29:33Z,1804.02851v2,arXiv
35,2018-04-09T09:45:29Z,1804.02884v1,arXiv
36,2018-04-09T11:55:22Z,1804.02929v1,arXiv
37,2018-04-09T13:02:35Z,1804.02952v2,arXiv
38,2018-04-09T13:28:56Z,1804.02969v3,arXiv
39,2018-04-09T13:56:41Z,1804.04226v1,arXiv
40,2018-04-09T14:28:15Z,1804.03022v1,arXiv
41,2018-04-09T15:05:56Z,1804.03048v2,arXiv
42,2018-04-09T15:47:36Z,1804.03065v1,arXiv
43,2018-04-09T17:28:00Z,1804.03115v1,arXiv
44,2018-04-09T17:29:44Z,1804.03116v1,arXiv
45,2018-04-09T17:46:33Z,1804.03124v1,arXiv
46,2018-04-09T17:48:23Z,1804.03126v2,arXiv
47,2018-04-09T18:33:29Z,1804.03176v1,arXiv
48,2018-04-09T20:56:03Z,1804.03235v1,arXiv
49,2018-04-10T01:26:00Z,1804.03301v1,arXiv
50,2018-04-10T02:39:41Z,1804.03317v3,arXiv
51,2018-04-10T02:43:35Z,1804.03994v1,arXiv
52,2018-04-10T03:25:31Z,1804.04603v2,arXiv
53,2018-04-10T04:36:58Z,1804.03282v1,arXiv
54,2018-04-10T05:27:49Z,1804.03342v1,arXiv
55,2018-04-10T07:04:19Z,1804.04604v1,arXiv
56,2018-04-10T08:31:03Z,1804.03396v1,arXiv
57,2018-04-10T10:00:36Z,1804.03424v2,arXiv
58,2018-04-10T10:29:14Z,1804.03437v1,arXiv
59,2018-04-10T10:34:36Z,1804.03439v1,arXiv
60,2018-04-10T12:59:53Z,1804.03487v1,arXiv
61,2018-04-10T14:04:18Z,1804.03546v2,arXiv
62,2018-04-10T15:01:50Z,1804.03578v1,arXiv
63,2018-04-10T15:38:59Z,1804.03592v1,arXiv
64,2018-04-10T15:40:29Z,1804.03593v2,arXiv
65,2018-04-10T15:48:18Z,1804.03599v1,arXiv
66,2018-04-10T16:03:16Z,1804.03611v1,arXiv
67,2018-04-11T00:06:36Z,1804.03758v1,arXiv
68,2018-04-11T02:10:55Z,1804.03782v1,arXiv
69,2018-04-11T03:49:22Z,1804.03799v1,arXiv
70,2018-04-11T06:10:48Z,1804.03824v4,arXiv
71,2018-04-11T11:13:35Z,1804.03928v1,arXiv
72,2018-04-11T12:21:18Z,1804.03954v1,arXiv
73,2018-04-11T13:08:26Z,1804.03967v1,arXiv
74,2018-04-11T13:28:07Z,1804.03973v1,arXiv
75,2018-04-11T13:48:08Z,1804.03980v1,arXiv
76,2018-04-11T13:51:19Z,1804.03984v1,arXiv
77,2018-04-11T14:21:53Z,1804.04012v1,arXiv
78,2018-04-11T17:00:27Z,1804.04095v1,arXiv
79,2018-04-11T18:32:25Z,1804.04159v1,arXiv
80,2018-04-11T20:46:33Z,1804.04216v1,arXiv
81,2018-04-11T21:16:39Z,1804.04225v1,arXiv
82,2018-04-11T21:42:32Z,1804.04235v1,arXiv
83,2018-04-12T01:22:50Z,1804.04268v1,arXiv
84,2018-04-12T02:20:47Z,1804.04286v1,arXiv
85,2018-04-12T05:04:34Z,1804.04316v1,arXiv
86,2018-04-12T05:10:33Z,1804.04318v2,arXiv
87,2018-04-12T05:48:06Z,1804.04326v3,arXiv
88,2018-04-12T05:54:13Z,1804.04327v3,arXiv
89,2018-04-12T07:15:20Z,1804.04353v1,arXiv
90,2018-04-12T08:15:17Z,1804.04367v1,arXiv
91,2018-04-12T10:56:44Z,1804.04421v1,arXiv
92,2018-04-12T12:05:28Z,1804.04452v1,arXiv
93,2018-04-12T12:14:18Z,1804.04458v1,arXiv
94,2018-04-12T15:34:23Z,1804.04572v1,arXiv
95,2018-04-12T17:19:36Z,1804.04635v1,arXiv
96,2018-04-12T17:23:56Z,1804.04637v2,arXiv
97,2018-04-12T17:34:41Z,1804.04640v2,arXiv
98,2018-04-12T17:57:19Z,1804.04651v1,arXiv
