,date,article_id,source
0,2018-06-18T05:58:04Z,1806.06505v1,arXiv
1,2018-06-18T06:04:12Z,1806.06506v1,arXiv
2,2018-06-18T06:51:28Z,1806.06514v2,arXiv
3,2018-06-18T07:08:11Z,1806.06519v1,arXiv
4,2018-06-18T09:28:52Z,1806.06569v1,arXiv
5,2018-06-18T12:14:32Z,1806.06620v1,arXiv
6,2018-06-18T14:35:14Z,1806.06734v1,arXiv
7,2018-06-18T18:00:00Z,1806.06859v1,arXiv
8,2018-06-18T22:29:51Z,1806.06972v1,arXiv
9,2018-06-18T22:30:19Z,1806.07709v1,arXiv
10,2018-06-18T23:08:15Z,1806.06950v1,arXiv
11,2018-06-19T02:16:44Z,1806.07011v1,arXiv
12,2018-06-19T04:24:16Z,1806.07037v1,arXiv
13,2018-06-19T07:14:54Z,1806.07072v1,arXiv
14,2018-06-19T07:45:14Z,1806.07082v1,arXiv
15,2018-06-19T08:57:03Z,1806.07111v1,arXiv
16,2018-06-19T09:12:00Z,1806.07117v1,arXiv
17,2018-06-19T09:42:36Z,1806.07129v1,arXiv
18,2018-06-19T10:01:48Z,1806.07135v1,arXiv
19,2018-06-19T11:37:50Z,1806.07164v1,arXiv
20,2018-06-19T12:01:29Z,1806.07172v2,arXiv
21,2018-06-19T13:03:11Z,1806.07199v2,arXiv
22,2018-06-19T13:58:14Z,1806.07239v1,arXiv
23,2018-06-19T14:57:18Z,1806.07297v1,arXiv
24,2018-06-19T14:57:22Z,1806.07757v1,arXiv
25,2018-06-19T15:21:37Z,1806.07304v1,arXiv
26,2018-06-19T16:50:46Z,1806.07342v1,arXiv
27,2018-06-19T17:50:12Z,1806.07366v1,arXiv
28,2018-06-19T19:32:42Z,1806.07439v1,arXiv
29,2018-06-19T21:12:37Z,1806.07470v1,arXiv
30,2018-06-19T23:05:18Z,1806.07495v1,arXiv
31,2018-06-19T23:18:48Z,1806.07498v1,arXiv
32,2018-06-20T04:48:18Z,1806.07550v1,arXiv
33,2018-06-20T04:52:33Z,1806.07552v1,arXiv
34,2018-06-20T09:41:14Z,1806.07635v1,arXiv
35,2018-06-20T09:41:54Z,1806.07637v1,arXiv
36,2018-06-20T12:09:52Z,1806.07685v1,arXiv
37,2018-06-20T12:46:43Z,1806.07697v1,arXiv
38,2018-06-20T13:26:03Z,1806.07717v1,arXiv
39,2018-06-20T13:42:37Z,1806.07723v1,arXiv
40,2018-06-20T15:39:21Z,1806.09506v1,arXiv
41,2018-06-20T16:15:54Z,1806.07822v1,arXiv
42,2018-06-20T16:39:26Z,1806.08730v1,arXiv
43,2018-06-20T16:56:54Z,1806.07840v2,arXiv
44,2018-06-20T17:03:52Z,1806.07842v1,arXiv
45,2018-06-20T17:11:54Z,1806.07846v1,arXiv
46,2018-06-20T17:22:12Z,1806.07851v1,arXiv
47,2018-06-20T17:34:07Z,1806.07857v1,arXiv
48,2018-06-20T18:15:45Z,1806.07913v1,arXiv
49,2018-06-20T18:30:27Z,1806.11555v1,arXiv
50,2018-06-20T19:27:59Z,1806.07937v2,arXiv
51,2018-06-20T20:27:23Z,1807.00053v1,arXiv
52,2018-06-20T23:01:05Z,1806.09504v1,arXiv
53,2018-06-21T02:19:50Z,1806.08047v1,arXiv
54,2018-06-21T03:21:18Z,1806.08053v2,arXiv
55,2018-06-21T03:22:54Z,1806.08055v1,arXiv
56,2018-06-21T04:43:35Z,1806.08065v1,arXiv
57,2018-06-21T06:53:45Z,1806.08083v1,arXiv
58,2018-06-21T09:04:26Z,1806.08122v1,arXiv
59,2018-06-21T09:40:20Z,1806.08694v1,arXiv
60,2018-06-21T10:23:23Z,1806.08156v3,arXiv
61,2018-06-21T11:44:16Z,1806.08179v1,arXiv
62,2018-06-21T12:35:23Z,1806.08202v1,arXiv
63,2018-06-21T13:51:56Z,1806.08247v1,arXiv
64,2018-06-21T17:02:29Z,1806.08321v1,arXiv
65,2018-06-21T17:30:26Z,1806.08340v1,arXiv
66,2018-06-21T17:59:09Z,1806.08354v1,arXiv
67,2018-06-21T18:59:05Z,1806.09464v1,arXiv
68,2018-06-21T23:43:03Z,1806.08456v1,arXiv
69,2018-06-22T01:18:14Z,1806.08463v1,arXiv
70,2018-06-22T01:35:39Z,1806.08465v1,arXiv
71,2018-06-22T02:54:22Z,1806.08473v1,arXiv
72,2018-06-22T03:24:00Z,1806.08479v1,arXiv
73,2018-06-22T08:18:53Z,1806.08544v1,arXiv
74,2018-06-22T08:48:49Z,1806.08554v1,arXiv
75,2018-06-22T09:02:29Z,1806.08561v1,arXiv
76,2018-06-22T09:22:42Z,1806.08568v1,arXiv
77,2018-06-22T12:01:11Z,1806.08616v1,arXiv
78,2018-06-22T14:05:43Z,1807.07896v1,arXiv
79,2018-06-22T14:14:30Z,1806.08685v1,arXiv
80,2018-06-22T14:17:04Z,1806.08686v1,arXiv
81,2018-06-22T17:55:24Z,1806.08781v1,arXiv
82,2018-06-22T18:31:24Z,1806.09605v1,arXiv
83,2018-06-22T22:52:12Z,1806.08874v1,arXiv
84,2018-06-23T02:18:26Z,1806.08894v1,arXiv
85,2018-06-23T03:43:26Z,1806.08903v1,arXiv
86,2018-06-23T04:47:37Z,1806.08908v1,arXiv
87,2018-06-23T06:28:38Z,1806.08915v2,arXiv
88,2018-06-23T07:47:57Z,1806.08925v1,arXiv
89,2018-06-23T10:12:38Z,1806.08941v1,arXiv
90,2018-06-23T14:52:01Z,1806.10990v1,arXiv
91,2018-06-23T15:36:04Z,1806.08984v1,arXiv
92,2018-06-23T20:02:55Z,1806.09029v1,arXiv
93,2018-06-23T20:08:56Z,1806.09030v1,arXiv
94,2018-06-24T04:18:55Z,1808.03387v1,arXiv
95,2018-06-24T13:05:06Z,1806.09141v1,arXiv
96,2018-06-24T18:09:52Z,1806.09612v1,arXiv
97,2018-06-24T18:37:09Z,1806.09192v1,arXiv
98,2018-06-24T23:00:29Z,1806.09997v2,arXiv
99,2018-06-25T01:05:19Z,1806.09244v1,arXiv
100,2018-06-25T08:47:08Z,1806.09328v1,arXiv
101,2018-06-25T09:46:47Z,1806.09351v1,arXiv
102,2018-06-25T12:06:28Z,1806.09614v1,arXiv
103,2018-06-25T13:19:45Z,1806.09444v1,arXiv
104,2018-06-25T13:45:57Z,1806.09453v1,arXiv
105,2018-06-25T13:51:04Z,1806.09455v1,arXiv
106,2018-06-25T14:28:09Z,1806.09487v1,arXiv
107,2018-06-25T14:57:52Z,1806.09511v1,arXiv
108,2018-06-25T15:01:54Z,1806.09514v1,arXiv
109,2018-06-25T17:47:42Z,1806.09597v2,arXiv
110,2018-06-25T17:56:32Z,1806.09602v2,arXiv
111,2018-06-25T21:01:03Z,1806.10449v1,arXiv
112,2018-06-25T21:37:21Z,1806.09710v1,arXiv
113,2018-06-25T22:15:19Z,1806.10131v2,arXiv
114,2018-06-26T00:03:23Z,1806.09731v1,arXiv
115,2018-06-26T01:17:51Z,1806.09748v1,arXiv
116,2018-06-26T02:41:52Z,1806.09769v1,arXiv
117,2018-06-26T02:55:16Z,1806.09771v1,arXiv
118,2018-06-26T03:08:21Z,1806.09777v1,arXiv
119,2018-06-26T04:13:25Z,1806.09785v1,arXiv
120,2018-06-26T04:15:38Z,1806.09787v2,arXiv
