,date,article_id,source
0,2016-12-08T17:45:16Z,1612.02741v4,arXiv
1,2016-12-08T18:25:31Z,1612.02757v1,arXiv
2,2016-12-08T20:24:01Z,1612.02795v1,arXiv
3,2016-12-08T20:56:48Z,1612.02814v2,arXiv
4,2016-12-09T00:56:42Z,1612.02879v2,arXiv
5,2016-12-09T04:02:34Z,1612.02904v1,arXiv
6,2016-12-09T15:25:03Z,1612.03055v1,arXiv
7,2016-12-09T16:05:36Z,1612.03932v2,arXiv
8,2016-12-09T18:20:00Z,1612.03117v1,arXiv
9,2016-12-09T23:01:12Z,1612.03211v2,arXiv
10,2016-12-10T00:04:22Z,1612.03224v5,arXiv
11,2016-12-10T03:11:37Z,1612.03242v2,arXiv
12,2016-12-10T06:30:25Z,1701.03162v1,arXiv
13,2016-12-10T12:42:10Z,1612.03284v1,arXiv
14,2016-12-10T18:11:32Z,1612.03328v2,arXiv
15,2016-12-10T22:38:42Z,1612.03353v2,arXiv
16,2016-12-11T01:57:50Z,1612.03364v1,arXiv
17,2016-12-11T02:19:22Z,1612.03365v1,arXiv
18,2016-12-11T16:22:27Z,1612.03433v2,arXiv
19,2016-12-11T20:43:30Z,1612.03471v2,arXiv
20,2016-12-11T22:27:37Z,1612.03494v1,arXiv
21,2016-12-12T06:19:32Z,1612.03551v3,arXiv
22,2016-12-12T12:57:10Z,1612.03653v2,arXiv
23,2016-12-12T14:31:29Z,1612.03705v1,arXiv
24,2016-12-12T16:25:08Z,1612.03769v1,arXiv
25,2016-12-12T16:52:01Z,1612.03780v1,arXiv
26,2016-12-12T17:06:19Z,1612.03789v1,arXiv
27,2016-12-12T17:32:49Z,1612.03801v2,arXiv
28,2016-12-12T18:38:40Z,1612.03839v2,arXiv
29,2016-12-12T19:04:24Z,1612.03852v1,arXiv
30,2016-12-12T19:53:04Z,1612.03871v3,arXiv
31,2016-12-12T21:19:51Z,1612.03929v5,arXiv
32,2016-12-12T22:05:10Z,1612.03948v3,arXiv
33,2016-12-13T00:21:45Z,1612.03981v1,arXiv
34,2016-12-13T04:27:32Z,1612.04023v1,arXiv
35,2016-12-13T11:54:22Z,1612.04108v1,arXiv
36,2016-12-13T16:00:51Z,1612.04251v1,arXiv
37,2016-12-13T17:10:11Z,1612.04286v1,arXiv
38,2016-12-13T17:51:59Z,1612.04299v1,arXiv
39,2016-12-13T18:43:59Z,1612.04315v1,arXiv
40,2016-12-13T18:56:03Z,1612.04318v1,arXiv
41,2016-12-13T20:22:00Z,1612.05502v2,arXiv
42,2016-12-13T23:56:58Z,1612.04432v1,arXiv
43,2016-12-14T03:13:29Z,1612.04468v1,arXiv
44,2016-12-14T03:21:32Z,1612.04469v1,arXiv
45,2016-12-14T15:22:57Z,1612.04687v2,arXiv
46,2016-12-14T17:33:38Z,1612.04742v4,arXiv
47,2016-12-14T18:12:47Z,1612.04757v2,arXiv
48,2016-12-14T18:14:59Z,1612.04759v2,arXiv
49,2016-12-14T20:15:36Z,1612.04791v3,arXiv
50,2016-12-14T20:50:48Z,1612.04804v1,arXiv
51,2016-12-14T22:04:33Z,1612.04858v1,arXiv
52,2016-12-14T22:22:33Z,1612.04868v1,arXiv
53,2016-12-14T23:13:26Z,1612.04876v1,arXiv
54,2016-12-14T23:47:27Z,1612.04885v1,arXiv
55,2016-12-15T05:25:41Z,1612.04933v1,arXiv
56,2016-12-15T05:46:27Z,1612.04936v4,arXiv
57,2016-12-15T09:14:35Z,1612.04988v1,arXiv
58,2016-12-15T11:48:13Z,1612.05028v1,arXiv
59,2016-12-15T12:59:33Z,1612.05048v1,arXiv
60,2016-12-15T14:42:45Z,1612.05086v2,arXiv
61,2016-12-15T17:41:41Z,1612.05159v2,arXiv
62,2016-12-15T20:57:56Z,1612.05251v1,arXiv
63,2016-12-15T22:55:41Z,1612.05299v1,arXiv
64,2016-12-15T23:33:41Z,1612.05309v1,arXiv
65,2016-12-16T03:33:07Z,1612.05348v1,arXiv
66,2016-12-16T14:58:17Z,1612.05497v2,arXiv
67,2016-12-16T16:15:26Z,1612.05533v3,arXiv
68,2016-12-16T16:15:45Z,1612.05535v2,arXiv
69,2016-12-16T19:06:35Z,1612.05596v2,arXiv
70,2016-12-16T20:49:35Z,1612.05628v5,arXiv
71,2016-12-17T01:03:55Z,1612.05688v3,arXiv
72,2016-12-17T01:54:23Z,1612.05693v1,arXiv
73,2016-12-17T02:33:41Z,1612.05695v2,arXiv
74,2016-12-17T10:50:41Z,1612.05729v1,arXiv
75,2016-12-17T11:36:06Z,1612.05734v1,arXiv
