,date,article_id,source
0,2018-07-16T23:24:03Z,1807.06149v1,arXiv
1,2018-07-17T00:07:57Z,1807.06156v1,arXiv
2,2018-07-17T00:25:15Z,1807.06158v1,arXiv
3,2018-07-17T00:38:40Z,1807.06161v1,arXiv
4,2018-07-17T02:51:52Z,1807.06190v1,arXiv
5,2018-07-17T05:29:10Z,1807.06228v1,arXiv
6,2018-07-17T09:04:35Z,1807.06286v1,arXiv
7,2018-07-17T10:51:04Z,1807.06333v1,arXiv
8,2018-07-17T12:49:18Z,1807.06391v1,arXiv
9,2018-07-17T13:02:55Z,1807.06397v2,arXiv
10,2018-07-17T14:02:14Z,1807.07404v1,arXiv
11,2018-07-17T15:13:20Z,1807.07147v2,arXiv
12,2018-07-17T16:34:47Z,1807.06538v2,arXiv
13,2018-07-17T16:35:51Z,1807.06540v1,arXiv
14,2018-07-17T17:25:32Z,1807.06572v1,arXiv
15,2018-07-17T17:31:59Z,1807.06574v1,arXiv
16,2018-07-17T18:27:03Z,1807.06613v1,arXiv
17,2018-07-17T20:44:51Z,1807.06666v1,arXiv
18,2018-07-17T21:48:48Z,1807.06684v1,arXiv
19,2018-07-17T21:54:49Z,1807.06685v1,arXiv
20,2018-07-17T22:51:14Z,1807.06696v1,arXiv
21,2018-07-18T00:50:18Z,1807.06722v2,arXiv
22,2018-07-18T01:17:34Z,1807.10587v1,arXiv
23,2018-07-18T01:47:47Z,1807.06734v1,arXiv
24,2018-07-18T03:26:39Z,1807.06756v1,arXiv
25,2018-07-18T03:28:02Z,1807.06757v1,arXiv
26,2018-07-18T03:51:08Z,1807.06763v1,arXiv
27,2018-07-18T05:23:43Z,1807.06777v1,arXiv
28,2018-07-18T07:02:08Z,1807.06796v1,arXiv
29,2018-07-18T08:18:22Z,1807.06813v1,arXiv
30,2018-07-18T08:55:27Z,1807.06822v1,arXiv
31,2018-07-18T11:48:37Z,1807.06874v1,arXiv
32,2018-07-18T12:58:43Z,1807.07858v1,arXiv
33,2018-07-18T13:11:08Z,1807.06906v1,arXiv
34,2018-07-18T13:27:33Z,1807.06918v2,arXiv
35,2018-07-18T13:28:59Z,1807.06919v2,arXiv
36,2018-07-18T14:42:35Z,1807.06978v1,arXiv
37,2018-07-18T15:36:06Z,1807.06996v1,arXiv
